tweet_id,favorite_count,retweet_count,followers_count,friends_count,source,retweeted_status,url
827653905312006145,16402,3286,7438052,10,Twitter for iPhone,Original tweet,https://t.co/0UTrm0dQfI
827600520311402496,7868,1035,7438052,10,Twitter for iPhone,Original tweet,https://t.co/Fx3mpICbFz
827324948884643840,16886,3344,7438052,10,Twitter for iPhone,Original tweet,https://t.co/oIRnxBH7mJ
827199976799354881,11238,2450,7438052,10,Twitter for iPhone,Original tweet,https://t.co/zV7A8OnKPV
826958653328592898,22945,5466,7438052,10,Twitter for iPhone,Original tweet,https://t.co/QV5nx6otZR
826615380357632002,0,4312,7438052,10,Twitter for iPhone,This is a retweet,This is a retweet
826598799820865537,5441,277,7438052,10,Twitter for iPhone,Original tweet,g
826598365270007810,10715,2562,7438052,10,Twitter for iPhone,Original tweet,https://t.co/YprN62Z74I
826476773533745153,19604,4580,7438053,10,Twitter for iPhone,Original tweet,https://t.co/qeIgYo9OLq
826240494070030336,14119,2823,7438053,10,Twitter for iPhone,Original tweet,https://t.co/srXL2s868C
826204788643753985,5192,1018,7438053,10,Twitter for iPhone,Original tweet,https://t.co/1httNYrCeW https://t.co/KvaM8j3jhX
825829644528148480,13567,2723,7438053,10,Twitter for iPhone,Original tweet,https://t.co/YimNdkZrhM
825535076884762624,55437,18807,7438053,10,Twitter for iPhone,Original tweet,https://t.co/804eeysJkI
825147591692263424,19484,5005,7438053,10,Twitter for iPhone,Original tweet,https://t.co/AyBEmx56MD
825120256414846976,0,1406,7438053,10,Twitter for iPhone,This is a retweet,This is a retweet
825026590719483904,6758,1406,7438053,10,Twitter for iPhone,Original tweet,https://t.co/HGMMHsgGXm
824796380199809024,0,6011,7438054,10,Twitter for iPhone,This is a retweet,This is a retweet
824325613288833024,12550,11362,7438054,10,Twitter for iPhone,Original tweet,https://t.co/wBmc7OaGvS
824297048279236611,16043,4231,7438054,10,Twitter for iPhone,Original tweet,https://t.co/EmJbG0skLt
824025158776213504,5084,646,7438054,10,Twitter for iPhone,Original tweet,https://t.co/50qq2DItPW
823939628516474880,11355,2970,7438054,10,Twitter for iPhone,Original tweet,https://t.co/m0hrATIEyw
823719002937630720,0,12298,7438054,10,Twitter for iPhone,This is a retweet,This is a retweet
823699002998870016,13412,2652,7438054,10,Twitter for iPhone,Original tweet,https://t.co/RsMs6iThDO
823581115634085888,13901,2895,7438054,10,Twitter for iPhone,Original tweet,https://t.co/6F5Rrp472U
823333489516937216,743,29,7438054,10,Twitter for iPhone,Original tweet,0
823322678127919110,16786,4400,7438054,10,Twitter for iPhone,Original tweet,https://t.co/stkJ377KK7
823269594223824897,0,10803,7438054,10,Twitter for iPhone,This is a retweet,This is a retweet
822859134160621569,14096,2497,7438054,10,Twitter for iPhone,Original tweet,https://t.co/b2odGgBYBP
822647212903690241,0,7045,7438054,10,Twitter for iPhone,This is a retweet,This is a retweet
822610361945911296,15755,3245,7438054,10,Twitter for iPhone,Original tweet,https://t.co/irJJJr0gHz
822489057087389700,19364,7045,7438054,10,Twitter for iPhone,Original tweet,https://t.co/liJGwMp17E
822462944365645825,30421,16087,7438054,10,Twitter for iPhone,Original tweet,https://t.co/q5ulLHbQ5h
822244816520155136,37399,10803,7438054,10,Twitter for iPhone,Original tweet,https://t.co/rLi83ZyCL5
821813639212650496,0,3659,7438054,10,Twitter for iPhone,This is a retweet,This is a retweet
821765923262631936,8999,1825,7438054,10,Twitter for iPhone,Original tweet,https://t.co/maDNMETA52
821522889702862852,8567,1939,7438054,10,Twitter for iPhone,Original tweet,https://t.co/REgCuirOhe
821421320206483457,0,6141,7438054,10,Twitter for iPhone,This is a retweet,This is a retweet
821407182352777218,12577,4780,7438054,10,Twitter for iPhone,Original tweet,https://t.co/Xn5AQtiqzG
821153421864615936,272,10,7438054,10,Twitter for iPhone,Original tweet,e
821044531881721856,13535,2512,7438054,10,Twitter for iPhone,Original tweet,https://t.co/8whqFhaex4
820837357901512704,0,7346,7438054,10,Twitter for iPhone,This is a retweet,This is a retweet
820749716845686786,33717,10897,7438054,10,Twitter for iPhone,Original tweet,https://t.co/EMq8Ud6Ze1
820690176645140481,13040,3544,7438054,10,Twitter for iPhone,Original tweet,https://t.co/NIYC820tmd
820494788566847489,0,623,7438054,10,Twitter for iPhone,This is a retweet,This is a retweet
820446719150292993,0,2838,7438054,10,Twitter for iPhone,This is a retweet,This is a retweet
820013781606658049,0,1302,7438054,10,Twitter for iPhone,This is a retweet,This is a retweet
819952236453363712,5689,1302,7438054,10,Twitter for iPhone,Original tweet,https://t.co/3UFtdZEa0l
819924195358416896,13752,5318,7438054,10,Twitter for iPhone,Original tweet,https://t.co/XdRNXNYD4E
819711362133872643,14403,3449,7438054,10,Twitter for iPhone,Original tweet,https://t.co/m5fYxrO3IU
819588359383371776,10225,2161,7438054,10,Twitter for iPhone,Original tweet,https://t.co/52cItP0vIO
819227688460238848,24706,7346,7438054,10,Twitter for iPhone,Original tweet,https://t.co/ii5eNX5LJT
819015337530290176,0,40289,7438054,10,Twitter for iPhone,This is a retweet,This is a retweet
819015331746349057,0,20767,7438054,10,Twitter for iPhone,This is a retweet,This is a retweet
819006400881917954,48307,20767,7438054,10,Twitter for iPhone,Original tweet,https://t.co/YOC1fHFCSb
819004803107983360,92434,40289,7438054,10,Twitter for iPhone,Original tweet,https://t.co/AdPKrI8BZ1
818646164899774465,0,22945,7438054,10,Twitter for iPhone,This is a retweet,This is a retweet
818614493328580609,10554,2839,7438054,10,Twitter for iPhone,Original tweet,https://t.co/FOF0hBDxP8
818588835076603904,0,6751,7438054,10,Twitter for iPhone,This is a retweet,This is a retweet
818536468981415936,11680,2726,7438054,10,Twitter for iPhone,Original tweet,https://t.co/rAtJLcwXVk
818307523543449600,0,8941,7438054,10,Twitter for iPhone,This is a retweet,This is a retweet
818259473185828864,11811,2518,7438054,10,Twitter for iPhone,Original tweet,https://t.co/rnkvT2kvib
818145370475810820,13155,2862,7438054,10,Twitter for iPhone,Original tweet,https://t.co/JlPug12E5Z
817827839487737858,55556,29857,7438054,10,Twitter for iPhone,Original tweet,https://t.co/q2BgNIi3OA
817777686764523521,11457,2941,7438054,10,Twitter for iPhone,Original tweet,https://t.co/X67OOW0q2I
817536400337801217,12639,3342,7438054,10,Twitter for iPhone,Original tweet,https://t.co/tFqQLwSBiH
817502432452313088,0,3727,7438054,10,Twitter for iPhone,This is a retweet,This is a retweet
817423860136083457,36675,16472,7438054,10,Twitter for iPhone,Original tweet,https://t.co/btzf1zTDeQ
817415592588222464,6019,1061,7438054,10,Twitter for iPhone,Original tweet,https://t.co/dEyZso9D3z
817181837579653120,0,9365,7438055,10,Twitter for iPhone,This is a retweet,This is a retweet
817171292965273600,9348,2212,7438055,10,Twitter for iPhone,Original tweet,https://t.co/56uBP28eqw
817120970343411712,13039,2886,7438055,10,Twitter for iPhone,Original tweet,https://t.co/kCLgD8687T
817056546584727552,9188,1820,7438055,10,Twitter for iPhone,Original tweet,https://t.co/r6SLVN2VUH
816829038950027264,0,5195,7438055,10,Twitter for iPhone,This is a retweet,This is a retweet
816450570814898180,32792,8941,7438055,10,Twitter for iPhone,Original tweet,https://t.co/LIhmM7i70k
816336735214911488,9216,2153,7438055,10,Twitter for iPhone,Original tweet,https://t.co/nuJxtmlLcY
816091915477250048,9574,2373,7438055,10,Twitter for iPhone,Original tweet,https://t.co/tlfuZ25IMi
816062466425819140,0,1147,7438055,10,Twitter for iPhone,This is a retweet,This is a retweet
816014286006976512,0,5854,7438055,10,Twitter for iPhone,This is a retweet,This is a retweet
815745968457060357,0,4556,7438055,10,Twitter for iPhone,This is a retweet,This is a retweet
815736392542261248,10547,2503,7438055,10,Twitter for iPhone,Original tweet,https://t.co/gd9UlLOCQ0
815639385530101762,8813,1813,7438055,10,Twitter for iPhone,Original tweet,https://t.co/bLZuOh9sKy
815390420867969024,11095,4196,7438056,10,Twitter for iPhone,Original tweet,https://t.co/9njRxyUd5L
814986499976527872,8191,1425,7438056,10,Twitter for iPhone,Original tweet,https://t.co/01vpuRDXQ8
814530161257443328,9298,2045,7438056,10,Twitter for iPhone,Original tweet,https://t.co/IOdgfnSE9G
814153002265309185,30879,9582,7438056,10,Twitter for iPhone,Original tweet,https://t.co/YIJo7X7K9J
813944609378369540,0,3531,7438056,10,Twitter for iPhone,This is a retweet,This is a retweet
813910438903693312,9974,2076,7438056,10,Twitter for iPhone,Original tweet,https://t.co/z1VRj1cYZf
813812741911748608,39005,15445,7438056,10,Twitter for iPhone,Original tweet,https://t.co/2LqNkbHRgt
813800681631023104,8962,1941,7438057,10,Twitter for iPhone,Original tweet,https://t.co/OuaVvVkwJ1
813187593374461952,21288,4811,7438057,10,Twitter for iPhone,Original tweet,https://t.co/rvSANEsQZJ
813172488309972993,10029,2111,7438057,10,Twitter for iPhone,Original tweet,https://t.co/bxGwkJa2kE
813157409116065792,8324,2449,7438057,10,Twitter for iPhone,Original tweet,https://t.co/hwhCbhCjnV
813142292504645637,9038,2600,7438057,10,Twitter for iPhone,Original tweet,https://t.co/KK4XQK9SPi
813130366689148928,4795,488,7438057,10,Twitter for iPhone,Original tweet,0
813127251579564032,12740,3449,7438057,10,Twitter for iPhone,Original tweet,https://t.co/BzITyGw3JA
813081950185472002,10607,3053,7438057,10,Twitter for iPhone,Original tweet,https://t.co/PjulYEXTvg
813066809284972545,8550,2146,7438057,10,Twitter for iPhone,Original tweet,https://t.co/syuTXARdtN
813051746834595840,22509,8089,7438057,10,Twitter for iPhone,Original tweet,https://t.co/AIMF8ouzvl
812781120811126785,8143,2106,7438056,10,Twitter for iPhone,Original tweet,https://t.co/lXFM1l22bG
812747805718642688,0,7652,7438056,10,Twitter for iPhone,This is a retweet,This is a retweet
812466873996607488,8588,2120,7438056,10,Twitter for iPhone,Original tweet,https://t.co/BAJrfPvtux
812372279581671427,14725,4041,7438056,10,Twitter for iPhone,Original tweet,https://t.co/gCnAeL2mvT
811985624773361665,7802,1547,7438056,10,Twitter for iPhone,Original tweet,https://t.co/sIB5C6FDop
811744202451197953,8117,1781,7438056,10,Twitter for iPhone,Original tweet,https://t.co/TZkiQZqwA6
811647686436880384,6003,820,7438056,10,Twitter for iPhone,Original tweet,0
811627233043480576,13764,3461,7438056,10,Twitter for iPhone,Original tweet,https://t.co/IU8S0n4oxn
810896069567610880,9727,1977,7438056,10,Twitter for iPhone,Original tweet,https://t.co/PqJcGVZBx9
810657578271330305,11783,2920,7438056,10,Twitter for iPhone,Original tweet,https://t.co/MXd0AGDsRJ
810284430598270976,38132,12604,7438056,10,Twitter for iPhone,Original tweet,https://t.co/9p6ECXJMMu
810254108431155201,15793,3711,7438056,10,Twitter for iPhone,Original tweet,https://t.co/ElJPHbfSMy
809920764300447744,16648,4312,7438056,10,Twitter for iPhone,Original tweet,https://t.co/HIraYS1Bzo
809808892968534016,0,5415,7438056,10,Twitter for iPhone,This is a retweet,This is a retweet
809448704142938112,7446,1621,7438056,10,Twitter for iPhone,Original tweet,https://t.co/EMdnCugNbo
809220051211603969,21450,6212,7438056,10,Twitter for iPhone,Original tweet,https://t.co/2JjYys5zMP
809084759137812480,14216,3873,7438056,10,Twitter for iPhone,Original tweet,https://t.co/ySn6zB6mwQ
808838249661788160,10862,3362,7438056,10,Twitter for iPhone,Original tweet,https://t.co/Zrrcw29o13
808501579447930884,12136,2877,7438056,10,Twitter for iPhone,Original tweet,https://t.co/SQhyqrr8px
808344865868283904,45729,22945,7438056,10,Vine - Make a Scene,Original tweet,https://t.co/hfi264QwYM
808134635716833280,0,6574,7438056,10,Twitter for iPhone,This is a retweet,This is a retweet
808106460588765185,9377,2425,7438056,10,Twitter for iPhone,Original tweet,https://t.co/7nJXFt8Ggy
808001312164028416,13532,3905,7438056,10,Twitter for iPhone,Original tweet,https://t.co/O9iGgvfuzl
807106840509214720,121206,59912,7438056,10,Twitter for iPhone,Original tweet,https://t.co/DkBYaCAg2d
807059379405148160,0,8111,7438056,10,Twitter for iPhone,This is a retweet,This is a retweet
807010152071229440,14016,4228,7438057,10,Twitter for iPhone,Original tweet,https://t.co/IARUfU6khr
806629075125202948,80876,38551,7438057,10,Twitter for iPhone,Original tweet,https://t.co/f1h2Fsalv9
806620845233815552,0,6104,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
806576416489959424,5212,2121,7438057,10,Twitter for iPhone,Original tweet,https://t.co/QrFkqgHR1G
806219024703037440,6907,1321,7438057,10,Twitter for iPhone,Original tweet,https://t.co/7Mgf5xvIAQ
805958939288408065,0,5952,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
805932879469572096,8893,2112,7438057,10,Twitter for iPhone,Original tweet,https://t.co/3P9dKV5Me1
805826884734976000,7091,2025,7438057,10,Twitter for iPhone,Original tweet,https://t.co/SgpBVYIL18
805823200554876929,0,8898,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
805520635690676224,6173,1822,7438057,10,Twitter for iPhone,Original tweet,https://t.co/WNdOIm4bXy
804738756058218496,14797,4262,7438057,10,Twitter for iPhone,Original tweet,https://t.co/kQVQoOW9NZ
804475857670639616,6621,2219,7438057,10,Twitter for iPhone,Original tweet,https://t.co/LEZ8jR5txd
804413760345620481,0,3562,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
804026241225523202,48062,17941,7438057,10,Twitter for iPhone,Original tweet,https://t.co/U7FvBZo6Bq
803773340896923648,10817,3065,7438057,10,Twitter for iPhone,Original tweet,https://t.co/ZxeRjMKaWt
803380650405482500,8347,2056,7438057,10,Twitter for iPhone,Original tweet,https://t.co/yPbCALoy2n
803321560782307329,0,5880,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
803276597545603072,10793,2736,7438057,10,Twitter for iPhone,Original tweet,https://t.co/jxQhxoPsgL
802952499103731712,9723,2223,7438057,10,Twitter for iPhone,Original tweet,https://t.co/yLm7hQ6UXh
802624713319034886,0,3246,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
802323869084381190,17508,6467,7438057,10,Twitter for iPhone,Original tweet,https://t.co/8Cbu9eKkfG
802265048156610565,7111,1508,7438057,10,Twitter for iPhone,Original tweet,https://t.co/9IxWAXFqze
802239329049477120,9786,2881,7438057,10,Twitter for iPhone,Original tweet,https://t.co/wG8NYg87Hw
802185808107208704,0,295,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
801958328846974976,8320,1889,7438057,10,Twitter for iPhone,Original tweet,https://t.co/4fY2bsAm65
801285448605831168,6532,921,7438057,10,Twitter for iPhone,Original tweet,https://t.co/bC69RrW559
801167903437357056,26404,6574,7438057,10,Twitter for iPhone,Original tweet,https://t.co/R6wJyC2Tey
801127390143516673,0,4398,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
801115127852503040,8714,2314,7438057,10,Twitter for iPhone,Original tweet,https://t.co/A1hx5HKfQ6
800859414831898624,744,107,7438057,10,Twitter for iPhone,Original tweet,s
800855607700029440,0,1805,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
800513324630806528,14153,3329,7438057,10,Twitter for iPhone,Original tweet,https://t.co/ILHGs0e6Dm
800459316964663297,10190,2395,7438057,10,Twitter for iPhone,Original tweet,https://t.co/61sX7pW5Ca
800443802682937345,0,4776,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
800188575492947969,0,4364,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
800141422401830912,16497,2838,7438057,10,Twitter for iPhone,Original tweet,https://t.co/pbKOesr8Tg
800018252395122689,30604,14596,7438057,10,Twitter for iPhone,Original tweet,https://t.co/gQqRBfkX4I
799774291445383169,0,5189,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
799757965289017345,9067,2396,7438057,10,Twitter for iPhone,Original tweet,https://t.co/OiH8PaOxB1
799422933579902976,8672,2118,7438057,10,Twitter for iPhone,Original tweet,https://t.co/cWlAEOZefY
799063482566066176,8735,2727,7438057,10,Twitter for iPhone,Original tweet,https://t.co/BXJFKOVnJm
798933969379225600,14201,4959,7438057,10,Twitter for iPhone,Original tweet,https://t.co/KJAKO2kXsL
798925684722855936,8018,1591,7438057,10,Twitter for iPhone,Original tweet,https://t.co/XzX91DfYVV
798705661114773508,0,7315,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
798701998996647937,0,8643,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
798686750113755136,0,2576,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
798682547630837760,0,5230,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
798673117451325440,0,6144,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
798665375516884993,0,4309,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
798585098161549313,0,6324,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
798576900688019456,0,6495,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
798340744599797760,0,3728,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
798209839306514432,11197,2832,7438057,10,Twitter for iPhone,Original tweet,https://t.co/jG1PAFkB81
797971864723324932,12567,3474,7438057,10,Twitter for iPhone,Original tweet,https://t.co/GRWPgNKt2z
797545162159308800,15638,5377,7438057,10,Twitter for iPhone,Original tweet,https://t.co/Ia19irLwyB
796904159865868288,0,9852,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
796865951799083009,8285,2108,7438057,10,Twitter for iPhone,Original tweet,https://t.co/Jgnuiyvq06
796759840936919040,12798,3385,7438057,10,Twitter for iPhone,Original tweet,https://t.co/6hx7ur6sNI
796563435802726400,0,8089,7438717,10,Twitter for iPhone,This is a retweet,This is a retweet
796484825502875648,8175,1950,7438057,10,Twitter for iPhone,Original tweet,https://t.co/bvkkqOjNDV
796387464403357696,11874,4613,7438057,10,Twitter for iPhone,Original tweet,https://t.co/CE3SrCv6L3
796125600683540480,5324,1977,7438057,10,Twitter for iPhone,Original tweet,https://t.co/a18mzkhTf6
796116448414461957,9797,2682,7438057,10,Twitter for iPhone,Original tweet,https://t.co/7i0bDMbrVN
796080075804475393,9120,2571,7438057,10,Twitter for iPhone,Original tweet,https://t.co/opoXKxmfFm
796031486298386433,11650,4083,7438057,10,Twitter for iPhone,Original tweet,https://t.co/PbgvuD0qIL
795464331001561088,53746,26389,7438057,10,Twitter for iPhone,Original tweet,https://t.co/gBUDjdEcqz
795076730285391872,17507,6011,7438057,10,Twitter for iPhone,Original tweet,https://t.co/ivPWhspN3E
794983741416415232,0,3734,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
794926597468000259,11092,2560,7438057,10,Twitter for iPhone,Original tweet,https://t.co/XRPvTPF0VH
794355576146903043,0,11393,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
794332329137291264,10321,2928,7438057,10,Twitter for iPhone,Original tweet,https://t.co/yF6kcAT3gx
